jml_ptk_laki_smk,jml_ptk_smp,jml_ptk_perempuan_slb,jml_ptk_slb,jml_ptk_sd,kecamatan,jml_ptk_laki_sma,jml_ptk_laki,jml_ptk_perempuan_sma,jml_ptk_perempuan_smk,jml_ptk_perempuan,jml_ptk_perempuan_smp,jml_ptk_perempuan_sd,jml_ptk_laki_sd,jml_ptk_sma,jml_ptk_laki_smp,jml_ptk_laki_slb,jml_ptk_smk
6,215,0,0,629,Kec. Gantarang,28,307,33,14,618,117,454,175,61,98,0,20
78,173,29,37,345,Kec. Ujung Bulu,66,280,96,117,632,121,269,76,162,52,8,195
17,160,0,0,472,Kec. Bulukumpa,37,244,46,19,507,100,342,130,83,60,0,36
12,151,0,0,407,Kec. Kajang,36,249,50,21,428,89,268,139,86,62,0,33
22,124,0,0,348,Kec. Ujung Loe,25,176,54,20,417,84,259,89,79,40,0,42
13,134,14,18,339,Kec. Herlang,23,218,34,4,347,82,213,126,57,52,4,17
11,83,0,0,343,Kec. Bontotiro,29,176,40,16,346,48,242,101,69,35,0,27
10,141,0,0,284,Kec. Rilau Ale,28,153,35,14,359,101,209,75,63,40,0,24
9,121,0,0,250,Kec. Bontobahari,28,150,59,15,332,81,177,73,87,40,0,24
8,116,0,0,242,Kec. Kindang,12,155,14,17,254,64,159,83,26,52,0,25
