sekolah,laki-laki,perempuan
SD ISLAM TERPADU WAHDAH ISLAMIYAH BULUKUMBA,111,104
SD NEGERI . 280 BONTOMINASA,36,39
SD NEGERI .172 BORONGKALUKUE,162,123
SD NEGERI 10 ELA-ELA,107,85
SD NEGERI 100 CENTRE KAJANG,132,124
SD NEGERI 101 KAJANG II,102,99
SD NEGERI 102 LAIKANG,28,48
SD NEGERI 103 KALIMPORO,88,88
SD NEGERI 104 JANNAYA,66,61
SD NEGERI 105 SANGKALA,134,135
SD NEGERI 106 LABOJO,48,42
SD NEGERI 107 MACCINI,81,77
SD NEGERI 108 GANTA,69,55
SD NEGERI 109 KAJANG KEKE,53,63
SD NEGERI 11 KALUMEME,149,132
SD NEGERI 110 BUNJA,73,57
SD NEGERI 111 KASSIBUTA,113,113
SD NEGERI 112 BARANG,50,51
SD NEGERI 113 DANGGAREHANG,36,28
SD NEGERI 114 MALLELENG,57,45
SD NEGERI 115 BALAGANA,123,105
SD NEGERI 116 USA,56,40
SD NEGERI 117 LEMBANG TUMBU,64,42
SD NEGERI 118 LEMBANG TUMBU,52,48
SD NEGERI 119 KARASSING,57,59
SD NEGERI 12 BABANA,66,65
SD NEGERI 120 BAJANG,59,82
SD NEGERI 121 EREINUNG,27,16
SD NEGERI 122 BATUPANYU,31,30
SD NEGERI 123 PATARO,33,29
SD NEGERI 124 BATUASANG,45,50
SD NEGERI 125 SALIBANG,43,34
SD NEGERI 126 BORONG,29,26
SD NEGERI 127 BONTOA,41,38
SD NEGERI 128 TURUNGAN BERU,111,103
SD NEGERI 129 BONTOSUKA,45,38
SD NEGERI 13 SALEMBA,77,99
SD NEGERI 130 BONTOBEANG,56,44
SD NEGERI 131 BONTO BANA,52,48
SD NEGERI 132 BABALOHE,45,45
SD NEGERI 133 HILA-HILA,26,41
SD NEGERI 134 KALUMPANG,35,27
SD NEGERI 135 ERELEBU,34,45
SD NEGERI 136 SALOBUNDANG,51,42
SD NEGERI 137 CARAMMING,57,59
SD NEGERI 138 BASOKENG,31,38
SD NEGERI 139 LAMANDA,51,61
SD NEGERI 14 BABANA,168,141
SD NEGERI 140 KALERASANG,22,25
SD NEGERI 141 SALU-SALU,46,28
SD NEGERI 142 PAKUBALAHO,37,49
SD NEGERI 143 PARA-PARA,55,53
SD NEGERI 144 BUHUNGLANTANG,47,37
SD NEGERI 145 TUJU,25,14
SD NEGERI 146 MATTOANGIN,51,54
SD NEGERI 147 MATTOANGING 2,24,26
SD NEGERI 148 BONTOBULAENG,37,23
SD NEGERI 149 TAMALALA,52,54
SD NEGERI 15 MANJALLING,73,75
SD NEGERI 150 UPASAYA,50,44
SD NEGERI 151 TIMBULA,76,63
SD NEGERI 152 JATIA,41,42
SD NEGERI 153 TOMBOLO,47,46
SD NEGERI 154 TULEKKO,42,24
SD NEGERI 155 TANAH BERU,93,119
SD NEGERI 156 KALUKUBODO,43,25
SD NEGERI 157 PASARAYA,79,96
SD NEGERI 158 BENJALA,55,64
SD NEGERI 159 LIMBUA,54,43
SD NEGERI 16 ULUTEDONG,154,146
SD NEGERI 160TARAMPANG,121,123
SD NEGERI 161 ARA,63,51
SD NEGERI 162 ARA,60,48
SD NEGERI 163 ARA,80,71
SD NEGERI 164 ARA,15,13
SD NEGERI 165 BIRA,44,52
SD NEGERI 166 BIRA,51,43
SD NEGERI 167 KASUSO,47,64
SD NEGERI 168 DANGKE,41,47
SD NEGERI 169 TOKALA,48,39
SD NEGERI 170 LIUKANG LOE,41,39
SD NEGERI 171 LOKA,215,171
SD NEGERI 173 MATEKKO,126,140
SD NEGERI 174 ANRIHUA,95,81
SD NEGERI 175 BULO-BULO,75,87
SD NEGERI 176 TAMBANGAN,37,40
SD NEGERI 177 BATUASANG,45,44
SD NEGERI 178 TULEKKO,81,50
SD NEGERI 179 TANAH BERU,141,139
SD NEGERI 18 PALANGISANG,77,79
SD NEGERI 180 BENTENGE,73,76
SD NEGERI 181 TANAHKONGKONG,111,118
SD NEGERI 182 DANNUANG,158,174
SD NEGERI 183 GARANTA,98,97
SD NEGERI 184 PALAMBARAE,115,104
SD NEGERI 185 BIALO,58,63
SD NEGERI 186 MATTIROWALIE,97,75
SD NEGERI 187 BONTOMANAI,112,110
