Jenjang,Sekolah,Laki-laki,Perempuan
SMA,SMAN 16 BULUKUMBA,121,101
SMA,SMAN 3 BULUKUMBA,326,477
SMA,SMAN 11 BULUKUMBA,211,259
SMA,SMAN 10 BULUKUMBA,353,492
SMA,SMAS MUHAMMADIYAH BULUKUMBA,73,37
SMA,SMAN 7 BULUKUMBA,260,286
SMA,SMAN 2 BULUKUMBA,432,611
SMA,SMAN 12 BULUKUMBA,175,244
SMA,SMAN 8 BULUKUMBA,362,593
SMA,SMAN 1 BULUKUMBA,404,721
SMA,SMAN 14 BULUKUMBA,128,163
SMA,SMA  NEGERI 19 BULUKUMBA,46,39
SMA,SMAN 4 BULUKUMBA,277,318
SMA,SMAN 6 BULUKUMBA,360,443
SMA,SMAN 17 BULUKUMBA,86,63
SMA,SMAS PGRI BULUKUMBA,28,12
SMA,SMAS KARYA SAHARI BULUKUMBA,142,67
SMA,SMAN 15 BULUKUMBA,90,91
SMA,SMA NEGERI 18 BULUKUMBA,210,228
SMA,SMAN 13 BULUKUMBA,116,141
SMA,SMAN 5 BULUKUMBA,387,562
SMA,SMAN 9 BULUKUMBA,363,567
SMK,SMKN 8 BULUKUMBA,126,64
SMK,SMKN 11 BULUKUMBA,81,46
SMK,SMKS AL IRSYAD BULUKUMBA,15,21
SMK,SMKN 1 BULUKUMBA,590,629
SMK,SMKN 10 BULUKUMBA,127,111
SMK,SMKN 9 BULUKUMBA,34,39
SMK,SMKN 2 BULUKUMBA,124,104
SMK,SMKN 6 PERKAPALAN BULUKUMBA,51,39
SMK,SMKS KESEHATAN PHINISI BULUKUMBA,4,10
SMK,SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,29,12
SMK,SMK CENDEKIA INSAN MANDIRI,4,4
SMK,SMKS PUTRA BANGSA BULUKUMBA,45,32
SMK,SMKS MULIA ASRI BULUKUMBA,19,24
SMK,SMKS PEPABRI BULUKUMBA,102,4
SMK,SMKS MUHAMMADIYAH BULUKUMBA,30,73
SMK,SMKN 5 BULUKUMBA,176,120
SMK,SMKN 3 BULUKUMBA,227,94
SMK,SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA,5,19
SMK,SMKN 4 BULUKUMBA,114,75
SMK,SMKN 7 BULUKUMBA,109,70
SMK,SMKS ARKARNIS BATANG,10,20
SMP,SMP NEGERI 8 BULUKUMBA ,89,122
SMP,SMP NEGERI SATAP 9 BULUKUMBA,33,29
