Jenjang	Sekolah	Kecematan	1	2	3	4	5	6	7	8	9	10	11	12	13	
SMA	SMAN 16 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	-	-	-	68	66	88	-	
SMA	SMAN 3 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	-	-	-	280	306	217	-	
SMA	SMAN 11 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	-	-	-	171	149	150	-	
SMA	SMAN 10 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	-	-	-	307	302	236	-	
SMA	SMAS MUHAMMADIYAH BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	20	42	48	-	
SMA	SMAN 7 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	-	-	-	195	164	187	-	
SMA	SMAN 2 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	-	-	-	356	359	328	-	
SMA	SMAN 12 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	-	-	-	173	126	120	-	
SMA	SMAN 8 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	329	308	318	-	
SMA	SMAN 1 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	394	394	337	-	
SMA	SMAN 14 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	-	-	-	102	98	91	-	
SMA	SMA  NEGERI 19 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	-	-	-	43	42	0	-	
SMA	SMAN 4 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	-	-	-	194	199	202	-	
SMA	SMAN 6 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	-	-	-	272	251	280	-	
SMA	SMAN 17 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	-	-	-	44	54	51	-	
SMA	SMAS PGRI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	0	15	25	-	
SMA	SMAS KARYA SAHARI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	42	76	91	-	
SMA	SMAN 15 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	-	-	-	60	67	54	-	
SMA	SMA NEGERI 18 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	-	-	-	163	125	150	-	
SMA	SMAN 13 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	-	-	-	91	85	81	-	
SMA	SMAN 5 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	-	-	-	338	322	289	-	
SMA	SMAN 9 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	-	-	-	338	329	263	-	
SMK	SMKN 8 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	-	-	-	97	59	34	0	
SMK	SMKN 11 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	-	-	-	93	34	0	0	
SMK	SMKS AL IRSYAD BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	0	11	25	0	
SMK	SMKN 1 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	399	450	370	0	
SMK	SMKN 10 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	-	-	-	103	58	77	0	
SMK	SMKN 9 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	-	-	-	39	13	21	0	
SMK	SMKN 2 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	-	-	-	80	82	66	0	
SMK	SMKN 6 PERKAPALAN BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	-	-	-	47	11	32	0	
SMK	SMKS KESEHATAN PHINISI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	6	4	4	0	
SMK	SMKS TEKNOLOGI INFORMATIKA BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	16	16	9	0	
SMK	SMK CENDEKIA INSAN MANDIRI	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	0	0	8	0	
SMK	SMKS PUTRA BANGSA BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	30	26	21	0	
SMK	SMKS MULIA ASRI BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	-	-	-	12	12	19	0	
SMK	SMKS PEPABRI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	38	36	32	0	
SMK	SMKS MUHAMMADIYAH BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	30	35	38	0	
SMK	SMKN 5 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	-	-	-	125	103	68	0	
SMK	SMKN 3 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	-	-	-	130	102	89	0	
SMK	SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	-	-	-	2	8	14	0	
SMK	SMKN 4 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	-	-	-	78	56	55	0	
SMK	SMKN 7 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	-	-	-	86	55	38	0	
SMK	SMKS ARKARNIS BATANG	Kec. Bontotiro	-	-	-	-	-	-	-	-	-	8	10	12	0	
SMP	SMP NEGERI 8 BULUKUMBA 	Kec. Gantarang	-	-	-	-	-	-	74	76	61	-	-	-	-	
SMP	SMP NEGERI SATAP 9 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	19	17	26	-	-	-	-	
SMP	SMP INTEGRAL AL HIKMAH	Kec. Ujung Loe	-	-	-	-	-	-	11	35	18	-	-	-	-	
SMP	SMP NEGERI 35 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	46	40	43	-	-	-	-	
SMP	SMP NEGERI 39 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	176	208	224	-	-	-	-	
SMP	SMP NEGERI 10 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	254	220	220	-	-	-	-	
SMP	SMP NEGERI 24 BULUKUMBA 	Kec. Herlang	-	-	-	-	-	-	110	116	112	-	-	-	-	
SMP	SMP NEGERI 5 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	111	100	136	-	-	-	-	
