Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SMA	SMAN 16 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	69	142	3	
SMA	SMAN 3 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	19	708	76	
SMA	SMAN 11 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	18	291	6	
SMA	SMAN 10 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	28	766	51	
SMA	SMAS MUHAMMADIYAH BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	16	68	10	
SMA	SMAN 7 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	8	469	69	
SMA	SMAN 2 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	205	669	8	
SMA	SMAN 12 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	150	306	3	
SMA	SMAN 8 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	28	870	57	
SMA	SMAN 1 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	27	1033	65	
SMA	SMAN 14 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	90	228	3	
SMA	SMA  NEGERI 19 BULUKUMBA		-	-	-	-	-	-	38	91	4	
SMA	SMAN 4 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	38	522	35	
SMA	SMAN 6 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	214	559	21	
SMA	SMAN 17 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	46	111	6	
SMA	SMAS PGRI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	0	19	21	
SMA	SMAS KARYA SAHARI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	16	113	5	
SMA	SMAN 15 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	4	157	20	
SMA	SMA NEGERI 18 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	91	288	8	
SMA	SMAN 13 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	4	210	43	
SMA	SMAN 5 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	64	785	100	
