Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SMA,SMAN 16 BULUKUMBA,Kec. Bontobahari,7,0,0,26
SMA,SMAN 3 BULUKUMBA,Kec. Bontobahari,24,0,0,22
SMA,SMAN 11 BULUKUMBA,Kec. Bontotiro,11,0,0,19
SMA,SMAN 10 BULUKUMBA,Kec. Rilau Ale,30,0,0,14
SMA,SMAS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,3,0,13,1
SMA,SMAN 7 BULUKUMBA,Kec. Gantarang,32,0,0,14
SMA,SMAN 2 BULUKUMBA,Kec. Bulukumpa,28,0,0,24
SMA,SMAN 12 BULUKUMBA,Kec. Kindang,16,0,0,7
SMA,SMAN 8 BULUKUMBA,Kec. Ujung Bulu,47,0,0,5
SMA,SMAN 1 BULUKUMBA,Kec. Ujung Bulu,59,0,0,7
SMA,SMAN 14 BULUKUMBA,Kec. Bulukumpa,9,0,0,22
SMA,SMA  NEGERI 19 BULUKUMBA,Kec. Gantarang,4,0,0,10
SMA,SMAN 4 BULUKUMBA,Kec. Bontotiro,27,0,0,11
SMA,SMAN 6 BULUKUMBA,Kec. Herlang,15,0,0,42
SMA,SMAN 17 BULUKUMBA,Kec. Rilau Ale,4,0,0,13
SMA,SMAS PGRI BULUKUMBA,Kec. Ujung Bulu,4,0,1,2
SMA,SMAS KARYA SAHARI BULUKUMBA,Kec. Ujung Bulu,11,0,3,6
SMA,SMAN 15 BULUKUMBA,Kec. Ujung Loe,5,0,0,15
SMA,SMA NEGERI 18 BULUKUMBA,Kec. Kajang,3,0,0,17
SMA,SMAN 13 BULUKUMBA,Kec. Kajang,4,0,0,17
SMA,SMAN 5 BULUKUMBA,Kec. Kajang,19,0,0,23
SMA,SMAN 9 BULUKUMBA,Kec. Ujung Loe,33,0,0,22
SMK,SMKN 8 BULUKUMBA,Kec. Bulukumpa,5,0,0,19
SMK,SMKN 11 BULUKUMBA,Kec. Bulukumpa,1,0,0,11
SMK,SMKS AL IRSYAD BULUKUMBA,Kec. Ujung Bulu,0,0,14,1
SMK,SMKN 1 BULUKUMBA,Kec. Ujung Bulu,64,0,0,25
SMK,SMKN 10 BULUKUMBA,Kec. Gantarang,5,0,0,11
SMK,SMKN 9 BULUKUMBA,Kec. Bontotiro,3,0,0,10
SMK,SMKN 2 BULUKUMBA,Kec. Kindang,12,0,0,13
SMK,SMKN 6 PERKAPALAN BULUKUMBA,Kec. Bontobahari,8,0,0,14
SMK,SMKS KESEHATAN PHINISI BULUKUMBA,Kec. Ujung Bulu,1,0,7,3
SMK,SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,Kec. Ujung Bulu,1,0,11,1
SMK,SMK CENDEKIA INSAN MANDIRI,Kec. Ujung Bulu,0,0,5,0
SMK,SMKS PUTRA BANGSA BULUKUMBA,Kec. Ujung Bulu,0,0,3,9
SMK,SMKS MULIA ASRI BULUKUMBA,Kec. Kajang,0,0,13,0
SMK,SMKS PEPABRI BULUKUMBA,Kec. Ujung Bulu,4,0,16,0
SMK,SMKS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,0,0,17,0
SMK,SMKN 5 BULUKUMBA,Kec. Rilau Ale,9,0,0,13
SMK,SMKN 3 BULUKUMBA,Kec. Ujung Loe,30,0,0,0
SMK,SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA,Kec. Ujung Bulu,0,0,7,0
SMK,SMKN 4 BULUKUMBA,Kec. Herlang,6,0,0,7
SMK,SMKN 7 BULUKUMBA,Kec. Kajang,4,0,0,16
SMK,SMKS ARKARNIS BATANG,Kec. Bontotiro,0,0,12,1
SMP,SMP NEGERI 8 BULUKUMBA ,Kec. Gantarang,17,0,0,1
SMP,SMP NEGERI SATAP 9 BULUKUMBA,Kec. Kindang,1,0,0,4
SMP,SMP INTEGRAL AL HIKMAH,Kec. Ujung Loe,0,0,7,0
SMP,SMP NEGERI 35 BULUKUMBA,Kec. Bontobahari,9,0,0,10
SMP,SMP NEGERI 39 BULUKUMBA,Kec. Rilau Ale,22,0,0,18
SMP,SMP NEGERI 10 BULUKUMBA,Kec. Ujung Loe,28,0,0,14
SMP,SMP NEGERI 24 BULUKUMBA ,Kec. Herlang,19,0,0,7
SMP,SMP NEGERI 5 BULUKUMBA,Kec. Gantarang,33,0,0,3
SMP,SMP AL-IRSYAD,Kec. Kindang,0,0,14,0
SMP,SMP NEGERI 23 BULUKUMBA,Kec. Kajang,3,0,0,11
SMP,SMP NEGERI SATAP 3 BULUKUMBA ,Kec. Kajang,3,0,0,8
SMP,SMP NEGERI 21 BULUKUMBA,Kec. Kajang,4,0,0,12
SMP,SMP NEGERI SATAP 5 BULUKUMBA,Kec. Kajang,3,0,0,4
SMP,SMP NEGERI SATAP 15 BULUKUMBA,Kec. Gantarang,3,0,0,8
SMP,SMP NEGERI SATAP 4 BULUKUMBA ,Kec. Kajang,2,0,0,1
