Jenjang,Sekolah,Kecematan,<= 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,> 55
SMA,SMAN 16 BULUKUMBA,Kec. Bontobahari,27,5,1,1,1,0,1
SMA,SMAN 3 BULUKUMBA,Kec. Bontobahari,18,7,5,2,7,6,6
SMA,SMAN 11 BULUKUMBA,Kec. Bontotiro,7,11,4,3,3,2,0
SMA,SMAN 10 BULUKUMBA,Kec. Rilau Ale,6,9,9,7,9,6,0
SMA,SMAS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,5,3,2,3,1,1,2
SMA,SMAN 7 BULUKUMBA,Kec. Gantarang,8,8,9,4,13,2,3
SMA,SMAN 2 BULUKUMBA,Kec. Bulukumpa,17,8,4,10,3,8,2
SMA,SMAN 12 BULUKUMBA,Kec. Kindang,3,4,7,2,6,3,1
SMA,SMAN 8 BULUKUMBA,Kec. Ujung Bulu,5,0,6,10,10,13,8
SMA,SMAN 1 BULUKUMBA,Kec. Ujung Bulu,7,1,1,9,12,23,13
SMA,SMAN 14 BULUKUMBA,Kec. Bulukumpa,15,8,3,2,1,1,1
SMA,SMA  NEGERI 19 BULUKUMBA,Kec. Gantarang,8,1,2,1,1,0,1
SMA,SMAN 4 BULUKUMBA,Kec. Bontotiro,10,4,3,2,2,6,12
SMA,SMAN 6 BULUKUMBA,Kec. Herlang,28,9,12,3,2,1,2
SMA,SMAN 17 BULUKUMBA,Kec. Rilau Ale,10,4,1,0,0,0,2
SMA,SMAS PGRI BULUKUMBA,Kec. Ujung Bulu,3,0,1,0,0,0,3
SMA,SMAS KARYA SAHARI BULUKUMBA,Kec. Ujung Bulu,2,4,1,1,3,3,6
SMA,SMAN 15 BULUKUMBA,Kec. Ujung Loe,13,4,2,2,1,1,0
SMA,SMA NEGERI 18 BULUKUMBA,Kec. Kajang,14,4,0,2,1,0,0
SMA,SMAN 13 BULUKUMBA,Kec. Kajang,11,6,1,0,1,1,2
SMA,SMAN 5 BULUKUMBA,Kec. Kajang,14,8,6,4,3,3,4
SMA,SMAN 9 BULUKUMBA,Kec. Ujung Loe,12,7,10,11,9,2,4
SMK,SMKN 8 BULUKUMBA,Kec. Bulukumpa,12,6,3,2,0,1,0
SMK,SMKN 11 BULUKUMBA,Kec. Bulukumpa,10,1,1,0,0,0,0
SMK,SMKS AL IRSYAD BULUKUMBA,Kec. Ujung Bulu,10,3,1,0,0,0,1
SMK,SMKN 1 BULUKUMBA,Kec. Ujung Bulu,17,8,13,10,11,15,16
SMK,SMKN 10 BULUKUMBA,Kec. Gantarang,11,4,2,2,0,1,0
SMK,SMKN 9 BULUKUMBA,Kec. Bontotiro,8,2,0,0,0,2,1
SMK,SMKN 2 BULUKUMBA,Kec. Kindang,5,9,6,4,1,0,0
SMK,SMKN 6 PERKAPALAN BULUKUMBA,Kec. Bontobahari,5,6,2,2,3,3,2
SMK,SMKS KESEHATAN PHINISI BULUKUMBA,Kec. Ujung Bulu,8,2,0,0,0,0,1
SMK,SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,Kec. Ujung Bulu,3,6,3,0,1,0,0
SMK,SMK CENDEKIA INSAN MANDIRI,Kec. Ujung Bulu,5,0,0,0,0,0,0
SMK,SMKS PUTRA BANGSA BULUKUMBA,Kec. Ujung Bulu,7,2,1,2,0,0,0
SMK,SMKS MULIA ASRI BULUKUMBA,Kec. Kajang,8,3,1,1,0,0,0
SMK,SMKS PEPABRI BULUKUMBA,Kec. Ujung Bulu,6,7,4,0,1,3,1
SMK,SMKS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,7,9,1,0,0,0,0
SMK,SMKN 5 BULUKUMBA,Kec. Rilau Ale,4,7,6,4,1,2,0
SMK,SMKN 3 BULUKUMBA,Kec. Ujung Loe,7,1,9,11,5,4,4
SMK,SMKS KEPERAWATAN ALIF SYAWAL BULUKUMBA,Kec. Ujung Bulu,2,2,1,1,0,0,1
SMK,SMKN 4 BULUKUMBA,Kec. Herlang,1,6,7,3,0,0,0
SMK,SMKN 7 BULUKUMBA,Kec. Kajang,11,6,0,0,2,1,0
SMK,SMKS ARKARNIS BATANG,Kec. Bontotiro,8,1,1,0,1,1,1
SMP,SMP NEGERI 8 BULUKUMBA ,Kec. Gantarang,1,4,9,3,3,2,2
SMP,SMP NEGERI SATAP 9 BULUKUMBA,Kec. Kindang,2,5,1,0,0,0,1
SMP,SMP INTEGRAL AL HIKMAH,Kec. Ujung Loe,3,2,1,1,1,0,0
SMP,SMP NEGERI 35 BULUKUMBA,Kec. Bontobahari,1,7,4,1,3,3,0
SMP,SMP NEGERI 39 BULUKUMBA,Kec. Rilau Ale,10,6,5,2,4,12,3
SMP,SMP NEGERI 10 BULUKUMBA,Kec. Ujung Loe,8,3,8,6,3,8,7
SMP,SMP NEGERI 24 BULUKUMBA ,Kec. Herlang,2,8,3,3,3,3,5
SMP,SMP NEGERI 5 BULUKUMBA,Kec. Gantarang,2,1,3,5,2,14,10
SMP,SMP AL-IRSYAD,Kec. Kindang,10,2,0,2,0,0,0
SMP,SMP NEGERI 23 BULUKUMBA,Kec. Kajang,2,2,1,4,1,4,0
SMP,SMP NEGERI SATAP 3 BULUKUMBA ,Kec. Kajang,3,5,0,1,1,1,0
SMP,SMP NEGERI 21 BULUKUMBA,Kec. Kajang,9,2,3,1,1,0,0
SMP,SMP NEGERI SATAP 5 BULUKUMBA,Kec. Kajang,1,3,0,2,0,1,0
SMP,SMP NEGERI SATAP 15 BULUKUMBA,Kec. Gantarang,2,4,3,0,1,1,0
SMP,SMP NEGERI SATAP 4 BULUKUMBA ,Kec. Kajang,1,0,2,1,1,0,0
SMP,SMP NEGERI SATAP 7 BULUKUMBA,Kec. Bontobahari,4,3,1,0,3,1,0
SMP,SMP NEGERI 32 BULUKUMBA,Kec. Bontobahari,3,5,8,3,8,8,8
SMP,SMPN 46 BULUKUMBA,Kec. Herlang,6,3,0,0,0,2,0
