Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SMA,SMAN 16 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,-,-,-,3,3,3,-
SMA,SMAN 3 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,-,-,-,9,9,7,-
SMA,SMAN 11 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,-,-,-,5,5,5,-
SMA,SMAN 10 BULUKUMBA,Kec. Rilau Ale,-,-,-,-,-,-,-,-,-,9,9,8,-
SMA,SMAS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,-,-,-,1,2,2,-
SMA,SMAN 7 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,-,-,-,7,7,7,-
SMA,SMAN 2 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,-,-,-,10,10,9,-
SMA,SMAN 12 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,-,-,-,6,5,4,-
SMA,SMAN 8 BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,-,-,-,9,9,9,-
SMA,SMAN 1 BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,-,-,-,11,12,11,-
SMA,SMAN 14 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,-,-,-,4,4,4,-
SMA,SMA  NEGERI 19 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,-,-,-,2,2,0,-
SMA,SMAN 4 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,-,-,-,6,7,7,-
SMA,SMAN 6 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,-,-,-,9,9,9,-
SMA,SMAN 17 BULUKUMBA,Kec. Rilau Ale,-,-,-,-,-,-,-,-,-,2,2,2,-
SMA,SMAS PGRI BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,-,-,-,0,1,1,-
SMA,SMAS KARYA SAHARI BULUKUMBA,Kec. Ujung Bulu,-,-,-,-,-,-,-,-,-,2,3,4,-
SMA,SMAN 15 BULUKUMBA,Kec. Ujung Loe,-,-,-,-,-,-,-,-,-,2,2,2,-
SMA,SMA NEGERI 18 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,-,-,-,5,4,5,-
SMA,SMAN 13 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,-,-,-,3,3,3,-
SMA,SMAN 5 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,-,-,-,9,10,9,-
