Jenjang,Sekolah,Kecematan,< 16,16 - 18,>18
SMA,SMAN 16 BULUKUMBA,Kec. Bontobahari,11,177,34
SMA,SMAN 3 BULUKUMBA,Kec. Bontobahari,19,708,76
SMA,SMAN 11 BULUKUMBA,Kec. Bontotiro,19,398,53
SMA,SMAN 10 BULUKUMBA,Kec. Rilau Ale,28,766,51
SMA,SMAS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,1,78,31
SMA,SMAN 7 BULUKUMBA,Kec. Gantarang,8,469,69
SMA,SMAN 2 BULUKUMBA,Kec. Bulukumpa,31,942,70
SMA,SMAN 12 BULUKUMBA,Kec. Kindang,17,373,29
SMA,SMAN 8 BULUKUMBA,Kec. Ujung Bulu,28,870,57
SMA,SMAN 1 BULUKUMBA,Kec. Ujung Bulu,27,1033,65
SMA,SMAN 14 BULUKUMBA,Kec. Bulukumpa,13,254,24
SMA,SMA  NEGERI 19 BULUKUMBA,Kec. Gantarang,3,79,3
SMA,SMAN 4 BULUKUMBA,Kec. Bontotiro,38,522,35
SMA,SMAN 6 BULUKUMBA,Kec. Herlang,28,663,112
SMA,SMAN 17 BULUKUMBA,Kec. Rilau Ale,3,122,24
SMA,SMAS PGRI BULUKUMBA,Kec. Ujung Bulu,0,19,21
SMA,SMAS KARYA SAHARI BULUKUMBA,Kec. Ujung Bulu,2,158,49
SMA,SMAN 15 BULUKUMBA,Kec. Ujung Loe,4,157,20
SMA,SMA NEGERI 18 BULUKUMBA,Kec. Kajang,8,354,76
SMA,SMAN 13 BULUKUMBA,Kec. Kajang,4,210,43
SMA,SMAN 5 BULUKUMBA,Kec. Kajang,64,785,100
SMA,SMAN 9 BULUKUMBA,Kec. Ujung Loe,12,849,69
SMK,SMKN 8 BULUKUMBA,Kec. Bulukumpa,8,163,19
SMK,SMKN 11 BULUKUMBA,Kec. Bulukumpa,10,109,8
SMK,SMKS AL IRSYAD BULUKUMBA,Kec. Ujung Bulu,0,27,9
SMK,SMKN 1 BULUKUMBA,Kec. Ujung Bulu,29,1069,121
SMK,SMKN 10 BULUKUMBA,Kec. Gantarang,6,202,30
SMK,SMKN 9 BULUKUMBA,Kec. Bontotiro,10,57,6
SMK,SMKN 2 BULUKUMBA,Kec. Kindang,8,188,32
SMK,SMKN 6 PERKAPALAN BULUKUMBA,Kec. Bontobahari,6,73,11
SMK,SMKS KESEHATAN PHINISI BULUKUMBA,Kec. Ujung Bulu,0,14,0
SMK,SMKS TEKNOLOGI INFORMATIKA BULUKUMBA,Kec. Ujung Bulu,1,30,10
SMK,SMK CENDEKIA INSAN MANDIRI,Kec. Ujung Bulu,0,4,4
SMK,SMKS PUTRA BANGSA BULUKUMBA,Kec. Ujung Bulu,0,68,9
SMK,SMKS MULIA ASRI BULUKUMBA,Kec. Kajang,2,30,11
SMK,SMKS PEPABRI BULUKUMBA,Kec. Ujung Bulu,2,88,16
SMK,SMKS MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,4,81,18
SMK,SMKN 5 BULUKUMBA,Kec. Rilau Ale,15,267,14
SMK,SMKN 3 BULUKUMBA,Kec. Ujung Loe,6,276,39
